Provinsi,NamaKab/Kota,Air Kemasan,Air Ledeng,Sumber Terlindung,Sumber Tidak Terlindung
ACEH,ACEH BARAT,1904,313,10073,7652
ACEH,ACEH BARAT DAYA,947,347,12419,4360
ACEH,ACEH BESAR,11310,2014,21377,4810
ACEH,ACEH JAYA,470,219,4923,2340
ACEH,ACEH SELATAN,1135,812,16574,10874
ACEH,ACEH SINGKIL,777,1085,3142,7463
ACEH,ACEH TAMIANG,7036,1874,12074,7771
ACEH,ACEH TENGAH,1053,1503,10178,7065
ACEH,ACEH TENGGARA,191,574,9080,5741
ACEH,ACEH TIMUR,3414,4554,17418,22203
ACEH,ACEH UTARA,3251,4911,34327,38128
ACEH,BENER MERIAH,194,1321,4904,3058
ACEH,BIREUEN,3521,4411,29752,15538
ACEH,GAYO LUES,255,484,3747,3388
ACEH,KOTA BANDA ACEH,7228,646,522,24
ACEH,KOTA LANGSA,3477,601,5118,493
ACEH,KOTA LHOKSEUMAWE,5934,661,4524,1064
ACEH,KOTA SABANG,1312,274,422,245
ACEH,KOTA SUBULUSSALAM,265,303,822,5920
ACEH,NAGAN RAYA,417,29,11859,7433
ACEH,PIDIE,4245,1160,35002,9699
ACEH,PIDIE JAYA,2873,1762,10901,3447
ACEH,SIMEULUE,1081,129,3906,6650
ACEH,TOTAL,29987,263064,175366,0
BALI,BADUNG,750,2630,8039,882
BALI,BANGLI,149,4472,6691,6004
BALI,BULELENG,581,10933,35315,15153
BALI,GIANYAR,114,6403,11012,1570
BALI,JEMBRANA,1034,3598,7182,5896
BALI,KARANG ASEM,101,11096,15309,11930
BALI,KLUNGKUNG,128,4464,1687,4910
BALI,KOTA DENPASAR,3074,319,1189,135
BALI,TABANAN,529,9951,15130,3549
BALI,TOTAL,53866,101554,50029,0
BANTEN,KOTA CILEGON,4975,455,8147,304
BANTEN,KOTA SERANG,7046,466,11095,1882
BANTEN,KOTA TANGERANG,24141,7100,36921,403
BANTEN,KOTA TANGERANG SELATAN,3271,642,28998,1542
BANTEN,LEBAK,1569,1779,47230,54624
BANTEN,PANDEGLANG,4851,2984,44111,61396
BANTEN,SERANG,12909,2149,36244,18011
BANTEN,TANGERANG,52691,25182,133967,17505
BANTEN,TOTAL,40757,346713,155667,0
BENGKULU,BENGKULU SELATAN,115,259,3898,7965
BENGKULU,BENGKULU TENGAH,165,364,1649,10227
BENGKULU,BENGKULU UTARA,216,1545,3942,16474
BENGKULU,KAUR,77,313,3630,8127
BENGKULU,KEPAHIANG,53,1033,1837,7863
BENGKULU,KOTA BENGKULU,5906,2305,7150,4936
BENGKULU,LEBONG,211,1892,1913,6204
BENGKULU,MUKOMUKO,1665,34,2128,9455
BENGKULU,REJANG LEBONG,65,1951,8932,16976
BENGKULU,SELUMA,234,73,2752,16906
BENGKULU,TOTAL,9769,37831,105133,0
DI YOGYAKARTA,BANTUL,656,5812,81756,10375
DI YOGYAKARTA,GUNUNG KIDUL,242,32742,34251,29973
DI YOGYAKARTA,KOTA YOGYAKARTA,802,4267,20448,610
DI YOGYAKARTA,KULON PROGO,263,4787,27078,12027
DI YOGYAKARTA,SLEMAN,642,3469,83055,14280
DI YOGYAKARTA,TOTAL,51077,246588,67265,0
DKI JAKARTA,KEPULAUAN SERIBU,1243,232,35,242
DKI JAKARTA,KOTA JAKARTA BARAT,17745,29138,6056,32
DKI JAKARTA,KOTA JAKARTA PUSAT,12075,17150,5576,0
DKI JAKARTA,KOTA JAKARTA SELATAN,11403,1202,25408,64
DKI JAKARTA,KOTA JAKARTA TIMUR,27866,5172,34685,0
DKI JAKARTA,KOTA JAKARTA UTARA,39836,29066,560,0
DKI JAKARTA,TOTAL,81960,72320,338,0
GORONTALO,BOALEMO,450,1444,9844,2998
GORONTALO,BONE BOLANGO,990,1489,9362,2269
GORONTALO,GORONTALO,1938,3452,33127,6212
GORONTALO,GORONTALO UTARA,660,926,5714,4674
GORONTALO,KOTA GORONTALO,2141,3682,6915,268
GORONTALO,POHUWATO,1821,3287,3738,2512
GORONTALO,TOTAL,14280,68700,18933,0
JAMBI,BATANG HARI,1137,1040,7846,11012
JAMBI,BUNGO,1004,449,8069,7976
JAMBI,KERINCI,1752,8433,8394,9880
JAMBI,KOTA JAMBI,7057,9050,10910,4691
JAMBI,KOTA SUNGAI PENUH,690,3008,819,948
JAMBI,MERANGIN,880,259,5359,16643
JAMBI,MUARO JAMBI,2724,565,5650,8598
JAMBI,SAROLANGUN,661,658,7677,13677
JAMBI,TANJUNG JABUNG BARAT,1503,188,2752,20394
JAMBI,TANJUNG JABUNG TIMUR,2121,18,458,14322
JAMBI,TEBO,402,546,7601,12182
JAMBI,TOTAL,24214,65535,120323,0
JAWA BARAT,BANDUNG,53821,9850,209691,53668
JAWA BARAT,BANDUNG BARAT,4766,6576,93577,37103
JAWA BARAT,BEKASI,79625,7443,62526,9258
JAWA BARAT,BOGOR,11235,7068,188948,111763
JAWA BARAT,CIAMIS,3137,3997,88601,55396
JAWA BARAT,CIANJUR,10551,7088,176616,110186
JAWA BARAT,CIREBON,42928,22778,158055,26039
JAWA BARAT,GARUT,9542,11088,183764,111014
JAWA BARAT,INDRAMAYU,84848,48025,92194,12333
JAWA BARAT,KARAWANG,39083,11459,147509,21604
JAWA BARAT,KOTA BANDUNG,39070,27535,47750,2851
JAWA BARAT,KOTA BANJAR,1211,283,8261,2079
JAWA BARAT,KOTA BEKASI,36195,2216,56647,456
JAWA BARAT,KOTA BOGOR,5683,20075,42647,2901
JAWA BARAT,KOTA CIMAHI,7958,1515,14717,1377
JAWA BARAT,KOTA CIREBON,4981,15325,4398,1466
JAWA BARAT,KOTA DEPOK,6383,1647,65371,876
JAWA BARAT,KOTA SUKABUMI,3483,962,14547,3596
JAWA BARAT,KOTA TASIKMALAYA,9865,1339,40014,15517
JAWA BARAT,KUNINGAN,691,6248,74387,27406
JAWA BARAT,MAJALENGKA,15501,3362,98984,20169
JAWA BARAT,PANGANDARAN,2280,523,24298,16326
JAWA BARAT,PURWAKARTA,942,2539,29921,26247
JAWA BARAT,SUBANG,7829,15332,97556,10184
JAWA BARAT,SUKABUMI,4923,3503,109417,117641
JAWA BARAT,SUMEDANG,2368,6564,65954,22035
JAWA BARAT,TASIKMALAYA,2609,1921,96265,111010
JAWA BARAT,TOTAL,246261,2292615,930501,0
JAWA TENGAH,BANJARNEGARA,323,2132,59766,43961
JAWA TENGAH,BANYUMAS,5302,8689,133862,73598
JAWA TENGAH,BATANG,198,5590,52587,16621
JAWA TENGAH,BLORA,7589,9574,78880,15617
JAWA TENGAH,BOYOLALI,335,7932,70301,18244
JAWA TENGAH,BREBES,13940,48985,176266,24787
JAWA TENGAH,CILACAP,7341,13206,131699,57091
JAWA TENGAH,DEMAK,33236,23494,77561,15997
JAWA TENGAH,GROBOGAN,30325,9966,99452,49927
JAWA TENGAH,JEPARA,4545,13112,75778,58318
JAWA TENGAH,KARANGANYAR,378,13060,59408,4306
JAWA TENGAH,KEBUMEN,2195,3115,110402,40938
JAWA TENGAH,KENDAL,3194,16767,62136,15452
JAWA TENGAH,KLATEN,725,9601,139481,18688
JAWA TENGAH,KOTA MAGELANG,31,6054,2911,141
JAWA TENGAH,KOTA PEKALONGAN,780,9013,18851,982
JAWA TENGAH,KOTA SALATIGA,44,4295,4307,524
JAWA TENGAH,KOTA SEMARANG,13679,28508,33974,1822
