Provinsi,NamaKab/Kota,Bebas Sewa,Kontrak/Sewa,Milik Sendiri,Listrik PLN,Listrik non-PLN,Tidak ada listrik,Air Kemasan,Air Ledeng,Sumber Terlindung,Sumber Tidak Terlindung,Jamban Bersama/Umum,Jamban Sendiri,Tidak Ada Jamban,Bekerja,Tidak Bekerja,Jumlah Anak yang Bersekolah,Jumlah Anak yang Tidak Bersekolah
ACEH,ACEH BARAT,1177,338,18270,18835,125,982,1904,313,10073,7652,1464,8719,9759,31848,38077,16550,2867
ACEH,ACEH BARAT DAYA,2097,570,15359,17414,125,534,947,347,12419,4360,5215,3087,9771,23497,48534,18151,3445
ACEH,ACEH BESAR,3887,971,34134,38484,202,825,11310,2014,21377,4810,6803,24440,8268,51263,90972,37828,5580
ACEH,ACEH JAYA,684,68,7178,7752,21,179,470,219,4923,2340,1785,3392,2775,12924,15610,7688,1170
ACEH,ACEH SELATAN,3304,766,25008,27762,200,1433,1135,812,16574,10874,2627,9889,16879,35839,70932,27316,4920
ACEH,ACEH SINGKIL,1391,368,10287,11797,266,404,777,1085,3142,7463,2456,7060,2951,16223,34667,16244,3180
ACEH,ACEH TAMIANG,3787,989,23201,28221,160,374,7036,1874,12074,7771,3401,22018,3336,34705,66615,27536,5063
ACEH,ACEH TENGAH,3113,1385,15070,18416,421,962,1053,1503,10178,7065,5594,10096,4109,37223,28728,17305,3012
ACEH,ACEH TENGGARA,2854,1255,11158,14169,220,1197,191,574,9080,5741,1877,2529,11180,31213,38751,24109,3553
ACEH,ACEH TIMUR,4215,885,41713,43664,804,3121,3414,4554,17418,22203,5246,23405,18938,65836,122924,52368,12620
ACEH,ACEH UTARA,6255,999,72399,76820,639,3163,3251,4911,34327,38128,14308,33661,32649,106022,195426,82016,16361
ACEH,BENER MERIAH,1407,483,7474,8507,105,866,194,1321,4904,3058,3007,4987,1484,18884,16831,11118,1821
ACEH,BIREUEN,4730,1208,46555,50023,422,2777,3521,4411,29752,15538,8937,28539,15746,78611,128876,52548,9935
ACEH,GAYO LUES,1027,282,6505,5631,1977,266,255,484,3747,3388,2083,834,4957,17722,13540,9469,1889
ACEH,KOTA BANDA ACEH,1676,1219,5441,8394,6,20,7228,646,522,24,1182,7206,32,10962,20664,8903,943
ACEH,KOTA LANGSA,2070,1143,6308,9581,2,107,3477,601,5118,493,2533,6250,907,13178,30375,13186,2155
ACEH,KOTA LHOKSEUMAWE,1396,1327,9381,12014,1,168,5934,661,4524,1064,1911,8242,2030,15428,38751,16410,2129
ACEH,KOTA SABANG,432,116,1689,2238,1,14,1312,274,422,245,600,1345,308,2953,5222,2305,305
ACEH,KOTA SUBULUSSALAM,624,234,6256,7137,49,124,265,303,822,5920,1063,4339,1908,7606,23795,11761,1666
ACEH,NAGAN RAYA,2234,324,16828,18985,115,638,417,29,11859,7433,1720,7916,10101,27426,36599,15293,3035
ACEH,PIDIE,8671,565,40500,47911,257,1938,4245,1160,35002,9699,14137,11232,24737,75225,121206,55385,9182
ACEH,PIDIE JAYA,1770,293,16826,18279,13,691,2873,1762,10901,3447,4655,6808,7520,29265,44943,20130,3025
ACEH,SIMEULUE,798,101,10756,11279,88,399,1081,129,3906,6650,1037,3599,7130,17388,24389,12803,1534
BALI,BADUNG,354,150,11770,12260,0,41,750,2630,8039,882,3390,7507,1404,29346,21342,11199,1266
BALI,BANGLI,623,58,16554,16428,173,715,149,4472,6691,6004,4024,5162,8130,39502,20220,11718,3925
BALI,BULELENG,9229,711,51151,60302,363,1317,581,10933,35315,15153,14068,29508,18406,111588,95591,45372,13510
BALI,GIANYAR,277,70,18680,19055,9,35,114,6403,11012,1570,5702,10152,3245,50422,34949,18424,2926
BALI,JEMBRANA,1831,204,15664,17638,13,59,1034,3598,7182,5896,5062,7493,5155,29036,26616,11763,2536
BALI,KARANG ASEM,2359,107,35550,37110,164,1162,101,11096,15309,11930,5163,12340,20933,77317,52648,27178,9442
BALI,KLUNGKUNG,563,67,10460,10796,186,207,128,4464,1687,4910,2427,4418,4344,22576,13841,7386,1328
BALI,KOTA DENPASAR,243,1759,2677,4703,0,14,3074,319,1189,135,1588,2991,138,9768,9743,5314,769
BALI,TABANAN,801,196,28094,28927,4,228,529,9951,15130,3549,4936,19528,4695,68331,39601,19164,3144
BANTEN,KOTA CILEGON,1444,750,11539,13840,24,17,4975,455,8147,304,1024,9885,2972,18471,37958,13743,3186
BANTEN,KOTA SERANG,1728,439,18240,20274,155,60,7046,466,11095,1882,1686,7247,11556,28859,65382,21953,11085
BANTEN,KOTA TANGERANG,7930,11090,48304,68244,247,74,24141,7100,36921,403,13687,52956,1922,89515,159363,56848,12739
BANTEN,KOTA TANGERANG SELATAN,1202,4149,28773,34144,268,41,3271,642,28998,1542,2717,31555,181,43147,75496,22923,5379
BANTEN,LEBAK,2646,377,101708,102597,577,2028,1569,1779,47230,54624,14200,23328,67674,141628,263783,91368,43869
BANTEN,PANDEGLANG,4208,602,108168,111242,1287,813,4851,2984,44111,61396,11432,33918,67992,157164,300799,114663,45043
BANTEN,SERANG,2454,231,66140,67925,699,689,12909,2149,36244,18011,5794,18149,45370,77491,198651,69095,23593
BANTEN,TANGERANG,8466,3209,216012,223876,4858,611,52691,25182,133967,17505,56523,104857,67965,278791,557952,163041,59894
BENGKULU,BENGKULU SELATAN,640,124,11458,10786,312,1139,115,259,3898,7965,1128,5282,5827,22588,20979,10638,1749
BENGKULU,BENGKULU TENGAH,1156,94,11143,10923,210,1272,165,364,1649,10227,1838,5538,5029,17823,22792,9278,2953
BENGKULU,BENGKULU UTARA,1928,229,19796,18774,688,2715,216,1545,3942,16474,3228,8229,10720,34292,42787,18989,5268
BENGKULU,KAUR,571,101,11442,10674,687,786,77,313,3630,8127,1062,5708,5377,23241,22800,11845,1796
BENGKULU,KEPAHIANG,1377,391,8980,9387,142,1257,53,1033,1837,7863,865,6750,3171,20093,15929,8135,2238
BENGKULU,KOTA BENGKULU,2917,3599,13677,20095,96,106,5906,2305,7150,4936,2658,16967,672,30126,45774,19924,3435
BENGKULU,LEBONG,1496,177,8533,8914,317,989,211,1892,1913,6204,415,2677,7128,17786,16350,8474,1988
BENGKULU,MUKOMUKO,1442,147,11493,11741,540,1001,1665,34,2128,9455,1801,7882,3599,18731,28121,12072,2724
BENGKULU,REJANG LEBONG,4947,1754,21084,21941,306,5677,65,1951,8932,16976,3623,13345,10956,48162,38789,18845,5422
BENGKULU,SELUMA,1202,81,18592,17013,543,2409,234,73,2752,16906,1708,10112,8145,34176,32808,15992,3767
DI YOGYAKARTA,BANTUL,7477,730,89978,97752,284,563,656,5812,81756,10375,23401,68192,7006,157771,137458,52162,9045
DI YOGYAKARTA,GUNUNG KIDUL,1910,118,94846,96294,524,392,242,32742,34251,29973,11368,83454,2385,196747,114894,46355,11179
DI YOGYAKARTA,KOTA YOGYAKARTA,8438,4752,12121,26016,20,91,802,4267,20448,610,12225,13567,335,40149,40233,16094,2271
DI YOGYAKARTA,KULON PROGO,2868,78,41069,43765,9,382,263,4787,27078,12027,9409,32230,2517,76295,52757,22281,3472
DI YOGYAKARTA,SLEMAN,12437,1680,85901,100730,334,382,642,3469,83055,14280,18293,72620,10533,163338,142140,56284,9250
DKI JAKARTA,KEPULAUAN SERIBU,136,92,1519,1727,24,1,1243,232,35,242,546,1094,112,2343,4296,1638,314
DKI JAKARTA,KOTA JAKARTA BARAT,9539,14866,27715,52910,2,59,17745,29138,6056,32,20048,32692,231,69782,123562,45163,12116
DKI JAKARTA,KOTA JAKARTA PUSAT,12463,7219,13593,34719,0,82,12075,17150,5576,0,19272,15491,38,45526,74585,26210,6799
DKI JAKARTA,KOTA JAKARTA SELATAN,7679,13394,16148,38004,22,51,11403,1202,25408,64,11702,26356,18,49020,86413,35037,6982
DKI JAKARTA,KOTA JAKARTA TIMUR,14065,21337,30195,67598,0,126,27866,5172,34685,0,21569,45834,321,80675,157652,57517,13113
DKI JAKARTA,KOTA JAKARTA UTARA,16213,22248,29531,69463,0,0,39836,29066,560,0,28834,39242,1387,93340,158710,60303,15091
GORONTALO,BOALEMO,1309,28,13093,11292,923,2521,450,1444,9844,2998,3375,2422,8939,21246,36616,14431,4713
GORONTALO,BONE BOLANGO,1747,29,11726,11639,1107,1364,990,1489,9362,2269,3449,2098,8563,18696,38006,15459,3590
GORONTALO,GORONTALO,5389,111,38085,36911,2125,5693,1938,3452,33127,6212,11102,9755,23872,67895,110299,42178,14116
GORONTALO,GORONTALO UTARA,1100,15,10799,9446,989,1539,660,926,5714,4674,1901,1082,8990,17310,30440,12992,3611
GORONTALO,KOTA GORONTALO,3739,155,8273,12848,38,120,2141,3682,6915,268,5573,5337,2096,17321,33694,14640,2666
GORONTALO,POHUWATO,721,39,10433,9608,569,1181,1821,3287,3738,2512,2471,1882,7005,17230,30700,12621,3842
JAMBI,BATANG HARI,2943,476,17474,18138,536,2361,1137,1040,7846,11012,5511,10786,4738,29712,45663,17551,4985
JAMBI,BUNGO,1905,300,15032,14416,563,2519,1004,449,8069,7976,1880,6891,8727,24028,37713,15815,4670
JAMBI,KERINCI,7269,197,20855,26272,492,1695,1752,8433,8394,9880,7081,10082,11296,37297,43616,17407,3326
JAMBI,KOTA JAMBI,4847,6727,19815,31300,228,180,7057,9050,10910,4691,3580,27050,1078,47843,75008,30697,5380
JAMBI,KOTA SUNGAI PENUH,1192,198,3943,5126,10,329,690,3008,819,948,1102,2080,2283,7404,11424,4681,786
JAMBI,MERANGIN,1634,277,20975,15672,4924,2545,880,259,5359,16643,2997,9359,10785,34643,42710,17286,6565
JAMBI,MUARO JAMBI,1834,460,14950,15150,754,1633,2724,565,5650,8598,3644,9730,4163,26527,39627,17090,4396
JAMBI,SAROLANGUN,2011,305,20217,18061,1843,2769,661,658,7677,13677,2774,11113,8786,31653,45697,19137,5386
JAMBI,TANJUNG JABUNG BARAT,1927,1483,21271,13283,5393,6161,1503,188,2752,20394,2799,15308,6730,42174,46368,21245,5511
JAMBI,TANJUNG JABUNG TIMUR,767,291,15668,11428,2404,3087,2121,18,458,14322,1489,12265,3165,28911,29973,12798,3893
JAMBI,TEBO,1913,190,18313,17175,777,2779,402,546,7601,12182,2467,11429,6835,30615,38215,15155,4733
JAWA BARAT,BANDUNG,39603,15120,262036,324687,2171,173,53821,9850,209691,53668,137184,170333,19514,371748,737329,251184,86362
JAWA BARAT,BANDUNG BARAT,13299,2906,123752,140368,1189,465,4766,6576,93577,37103,53948,82104,5970,141403,316565,100105,36178
JAWA BARAT,BEKASI,5073,2585,149789,157390,946,516,79625,7443,62526,9258,45839,65556,47456,177813,355743,108363,34441
