Provinsi,NamaKab/Kota,KodeKab/Kota,Jumlah Anak yang Bersekolah,Jumlah Anak yang Tidak Bersekolah
ACEH,ACEH BARAT,1107,16550,2867
ACEH,ACEH BARAT DAYA,1112,18151,3445
ACEH,ACEH BESAR,1108,37828,5580
ACEH,ACEH JAYA,1116,7688,1170
ACEH,ACEH SELATAN,1103,27316,4920
ACEH,ACEH SINGKIL,1102,16244,3180
ACEH,ACEH TAMIANG,1114,27536,5063
ACEH,ACEH TENGAH,1106,17305,3012
ACEH,ACEH TENGGARA,1104,24109,3553
ACEH,ACEH TIMUR,1105,52368,12620
ACEH,ACEH UTARA,1111,82016,16361
ACEH,BENER MERIAH,1117,11118,1821
ACEH,BIREUEN,1110,52548,9935
ACEH,GAYO LUES,1113,9469,1889
ACEH,KOTA BANDA ACEH,1171,8903,943
ACEH,KOTA LANGSA,1173,13186,2155
ACEH,KOTA LHOKSEUMAWE,1174,16410,2129
ACEH,KOTA SABANG,1172,2305,305
ACEH,KOTA SUBULUSSALAM,1175,11761,1666
ACEH,NAGAN RAYA,1115,15293,3035
ACEH,PIDIE,1109,55385,9182
ACEH,PIDIE JAYA,1118,20130,3025
ACEH,SIMEULUE,1101,12803,1534
BALI,BADUNG,5103,11199,1266
BALI,BANGLI,5106,11718,3925
BALI,BULELENG,5108,45372,13510
BALI,GIANYAR,5104,18424,2926
BALI,JEMBRANA,5101,11763,2536
BALI,KARANG ASEM,5107,27178,9442
BALI,KLUNGKUNG,5105,7386,1328
BALI,KOTA DENPASAR,5171,5314,769
BALI,TABANAN,5102,19164,3144
BANTEN,KOTA CILEGON,3672,13743,3186
BANTEN,KOTA SERANG,3673,21953,11085
BANTEN,KOTA TANGERANG,3671,56848,12739
BANTEN,KOTA TANGERANG SELATAN,3674,22923,5379
BANTEN,LEBAK,3602,91368,43869
BANTEN,PANDEGLANG,3601,114663,45043
BANTEN,SERANG,3604,69095,23593
BANTEN,TANGERANG,3603,163041,59894
BENGKULU,BENGKULU SELATAN,1701,10638,1749
BENGKULU,BENGKULU TENGAH,1709,9278,2953
BENGKULU,BENGKULU UTARA,1703,18989,5268
BENGKULU,KAUR,1704,11845,1796
BENGKULU,KEPAHIANG,1708,8135,2238
BENGKULU,KOTA BENGKULU,1771,19924,3435
BENGKULU,LEBONG,1707,8474,1988
BENGKULU,MUKOMUKO,1706,12072,2724
BENGKULU,REJANG LEBONG,1702,18845,5422
BENGKULU,SELUMA,1705,15992,3767
DI YOGYAKARTA,BANTUL,3402,52162,9045
DI YOGYAKARTA,GUNUNG KIDUL,3403,46355,11179
