Provinsi,NamaKab/Kota,Listrik PLN,Listrik non-PLN,Tidak ada listrik
ACEH,ACEH BARAT,18835,125,982
ACEH,ACEH BARAT DAYA,17414,125,534
ACEH,ACEH BESAR,38484,202,825
ACEH,ACEH JAYA,7752,21,179
ACEH,ACEH SELATAN,27762,200,1433
ACEH,ACEH SINGKIL,11797,266,404
ACEH,ACEH TAMIANG,28221,160,374
ACEH,ACEH TENGAH,18416,421,962
ACEH,ACEH TENGGARA,14169,220,1197
ACEH,ACEH TIMUR,43664,804,3121
ACEH,ACEH UTARA,76820,639,3163
ACEH,BENER MERIAH,8507,105,866
ACEH,BIREUEN,50023,422,2777
ACEH,GAYO LUES,5631,1977,266
ACEH,KOTA BANDA ACEH,8394,6,20
ACEH,KOTA LANGSA,9581,2,107
ACEH,KOTA LHOKSEUMAWE,12014,1,168
ACEH,KOTA SABANG,2238,1,14
ACEH,KOTA SUBULUSSALAM,7137,49,124
ACEH,NAGAN RAYA,18985,115,638
ACEH,PIDIE,47911,257,1938
ACEH,PIDIE JAYA,18279,13,691
ACEH,SIMEULUE,11279,88,399
ACEH,TOTAL,6219,21182,0
BALI,BADUNG,12260,0,41
BALI,BANGLI,16428,173,715
BALI,BULELENG,60302,363,1317
BALI,GIANYAR,19055,9,35
BALI,JEMBRANA,17638,13,59
BALI,KARANG ASEM,37110,164,1162
BALI,KLUNGKUNG,10796,186,207
BALI,KOTA DENPASAR,4703,0,14
BALI,TABANAN,28927,4,228
BALI,TOTAL,912,3778,0
BANTEN,KOTA CILEGON,13840,24,17
BANTEN,KOTA SERANG,20274,155,60
BANTEN,KOTA TANGERANG,68244,247,74
BANTEN,KOTA TANGERANG SELATAN,34144,268,41
BANTEN,LEBAK,102597,577,2028
BANTEN,PANDEGLANG,111242,1287,813
BANTEN,SERANG,67925,699,689
BANTEN,TANGERANG,223876,4858,611
BANTEN,TOTAL,8115,4333,0
BENGKULU,BENGKULU SELATAN,10786,312,1139
