Provinsi,NamaKab/Kota,KodeKab/Kota,Bekerja,Tidak Bekerja
,,,,
ACEH,ACEH BARAT,1107,31848,38077
ACEH,ACEH BARAT DAYA,1112,23497,48534
ACEH,ACEH BESAR,1108,51263,90972
ACEH,ACEH JAYA,1116,12924,15610
ACEH,ACEH SELATAN,1103,35839,70932
ACEH,ACEH SINGKIL,1102,16223,34667
ACEH,ACEH TAMIANG,1114,34705,66615
ACEH,ACEH TENGAH,1106,37223,28728
ACEH,ACEH TENGGARA,1104,31213,38751
ACEH,ACEH TIMUR,1105,65836,122924
ACEH,ACEH UTARA,1111,106022,195426
ACEH,BENER MERIAH,1117,18884,16831
ACEH,BIREUEN,1110,78611,128876
ACEH,GAYO LUES,1113,17722,13540
ACEH,KOTA BANDA ACEH,1171,10962,20664
ACEH,KOTA LANGSA,1173,13178,30375
ACEH,KOTA LHOKSEUMAWE,1174,15428,38751
ACEH,KOTA SABANG,1172,2953,5222
ACEH,KOTA SUBULUSSALAM,1175,7606,23795
ACEH,NAGAN RAYA,1115,27426,36599
ACEH,PIDIE,1109,75225,121206
ACEH,PIDIE JAYA,1118,29265,44943
ACEH,SIMEULUE,1101,17388,24389
BALI,BADUNG,5103,29346,21342
BALI,BANGLI,5106,39502,20220
BALI,BULELENG,5108,111588,95591
BALI,GIANYAR,5104,50422,34949
BALI,JEMBRANA,5101,29036,26616
BALI,KARANG ASEM,5107,77317,52648
BALI,KLUNGKUNG,5105,22576,13841
BALI,KOTA DENPASAR,5171,9768,9743
BALI,TABANAN,5102,68331,39601
BANTEN,KOTA CILEGON,3672,18471,37958
BANTEN,KOTA SERANG,3673,28859,65382
BANTEN,KOTA TANGERANG,3671,89515,159363
BANTEN,KOTA TANGERANG SELATAN,3674,43147,75496
BANTEN,LEBAK,3602,141628,263783
BANTEN,PANDEGLANG,3601,157164,300799
BANTEN,SERANG,3604,77491,198651
BANTEN,TANGERANG,3603,278791,557952
BENGKULU,BENGKULU SELATAN,1701,22588,20979
BENGKULU,BENGKULU TENGAH,1709,17823,22792
