Provinsi,NamaKab/Kota,Jamban Bersama/Umum,Jamban Sendiri,Tidak ada
ACEH,ACEH BARAT,1464,8719,9759
ACEH,ACEH BARAT DAYA,5215,3087,9771
ACEH,ACEH BESAR,6803,24440,8268
ACEH,ACEH JAYA,1785,3392,2775
ACEH,ACEH SELATAN,2627,9889,16879
ACEH,ACEH SINGKIL,2456,7060,2951
ACEH,ACEH TAMIANG,3401,22018,3336
ACEH,ACEH TENGAH,5594,10096,4109
ACEH,ACEH TENGGARA,1877,2529,11180
ACEH,ACEH TIMUR,5246,23405,18938
ACEH,ACEH UTARA,14308,33661,32649
ACEH,BENER MERIAH,3007,4987,1484
ACEH,BIREUEN,8937,28539,15746
ACEH,GAYO LUES,2083,834,4957
ACEH,KOTA BANDA ACEH,1182,7206,32
ACEH,KOTA LANGSA,2533,6250,907
ACEH,KOTA LHOKSEUMAWE,1911,8242,2030
ACEH,KOTA SABANG,600,1345,308
ACEH,KOTA SUBULUSSALAM,1063,4339,1908
ACEH,NAGAN RAYA,1720,7916,10101
ACEH,PIDIE,14137,11232,24737
ACEH,PIDIE JAYA,4655,6808,7520
ACEH,SIMEULUE,1037,3599,7130
BALI,BADUNG,3390,7507,1404
BALI,BANGLI,4024,5162,8130
BALI,BULELENG,14068,29508,18406
BALI,GIANYAR,5702,10152,3245
BALI,JEMBRANA,5062,7493,5155
BALI,KARANG ASEM,5163,12340,20933
BALI,KLUNGKUNG,2427,4418,4344
BALI,KOTA DENPASAR,1588,2991,138
BALI,TABANAN,4936,19528,4695
BANTEN,KOTA CILEGON,1024,9885,2972
BANTEN,KOTA SERANG,1686,7247,11556
BANTEN,KOTA TANGERANG,13687,52956,1922
BANTEN,KOTA TANGERANG SELATAN,2717,31555,181
BANTEN,LEBAK,14200,23328,67674
BANTEN,PANDEGLANG,11432,33918,67992
BANTEN,SERANG,5794,18149,45370
BANTEN,TANGERANG,56523,104857,67965
BENGKULU,BENGKULU SELATAN,1128,5282,5827
BENGKULU,BENGKULU TENGAH,1838,5538,5029
BENGKULU,BENGKULU UTARA,3228,8229,10720
BENGKULU,KAUR,1062,5708,5377
BENGKULU,KEPAHIANG,865,6750,3171
BENGKULU,KOTA BENGKULU,2658,16967,672
BENGKULU,LEBONG,415,2677,7128
BENGKULU,MUKOMUKO,1801,7882,3599
BENGKULU,REJANG LEBONG,3623,13345,10956
BENGKULU,SELUMA,1708,10112,8145
DI YOGYAKARTA,BANTUL,23401,68192,7006
DI YOGYAKARTA,GUNUNG KIDUL,11368,83454,2385
DI YOGYAKARTA,KOTA YOGYAKARTA,12225,13567,335
DI YOGYAKARTA,KULON PROGO,9409,32230,2517
DI YOGYAKARTA,SLEMAN,18293,72620,10533
DKI JAKARTA,KEPULAUAN SERIBU,546,1094,112
DKI JAKARTA,KOTA JAKARTA BARAT,20048,32692,231
DKI JAKARTA,KOTA JAKARTA PUSAT,19272,15491,38
DKI JAKARTA,KOTA JAKARTA SELATAN,11702,26356,18
DKI JAKARTA,KOTA JAKARTA TIMUR,21569,45834,321
DKI JAKARTA,KOTA JAKARTA UTARA,28834,39242,1387
GORONTALO,BOALEMO,3375,2422,8939
GORONTALO,BONE BOLANGO,3449,2098,8563
GORONTALO,GORONTALO,11102,9755,23872
GORONTALO,GORONTALO UTARA,1901,1082,8990
GORONTALO,KOTA GORONTALO,5573,5337,2096
GORONTALO,POHUWATO,2471,1882,7005
JAMBI,BATANG HARI,5511,10786,4738
JAMBI,BUNGO,1880,6891,8727
JAMBI,KERINCI,7081,10082,11296
JAMBI,KOTA JAMBI,3580,27050,1078
JAMBI,KOTA SUNGAI PENUH,1102,2080,2283
JAMBI,MERANGIN,2997,9359,10785
JAMBI,MUARO JAMBI,3644,9730,4163
JAMBI,SAROLANGUN,2774,11113,8786
JAMBI,TANJUNG JABUNG BARAT,2799,15308,6730
JAMBI,TANJUNG JABUNG TIMUR,1489,12265,3165
JAMBI,TEBO,2467,11429,6835
JAWA BARAT,BANDUNG,137184,170333,19514
JAWA BARAT,BANDUNG BARAT,53948,82104,5970
JAWA BARAT,BEKASI,45839,65556,47456
JAWA BARAT,BOGOR,68638,164735,85640
JAWA BARAT,CIAMIS,40238,69971,40921
JAWA BARAT,CIANJUR,123662,141579,39196
JAWA BARAT,CIREBON,57678,138029,54093
JAWA BARAT,GARUT,161230,123668,30509
JAWA BARAT,INDRAMAYU,33060,150772,53567
JAWA BARAT,KARAWANG,47718,59836,112101
JAWA BARAT,KOTA BANDUNG,55410,61139,659
JAWA BARAT,KOTA BANJAR,3435,7153,1246
JAWA BARAT,KOTA BEKASI,7897,87164,453
JAWA BARAT,KOTA BOGOR,13990,52352,4964
JAWA BARAT,KOTA CIMAHI,10489,14807,270
JAWA BARAT,KOTA CIREBON,5984,19285,901
JAWA BARAT,KOTA DEPOK,4677,68963,637
JAWA BARAT,KOTA SUKABUMI,5898,15693,997
JAWA BARAT,KOTA TASIKMALAYA,16822,39498,10415
JAWA BARAT,KUNINGAN,9332,87606,11794
JAWA BARAT,MAJALENGKA,33064,84240,20712
JAWA BARAT,PANGANDARAN,8609,22154,12664
JAWA BARAT,PURWAKARTA,14168,34594,10887
JAWA BARAT,SUBANG,24904,72306,33691
JAWA BARAT,SUKABUMI,82186,102941,50354
JAWA BARAT,SUMEDANG,27639,59004,10278
JAWA BARAT,TASIKMALAYA,98747,61011,52046
JAWA TENGAH,BANJARNEGARA,20463,39211,46506
JAWA TENGAH,BANYUMAS,40166,117709,63576
JAWA TENGAH,BATANG,9224,35626,30146
JAWA TENGAH,BLORA,24037,70135,17488
JAWA TENGAH,BOYOLALI,27903,56045,12864
JAWA TENGAH,BREBES,29813,136283,97882
JAWA TENGAH,CILACAP,43119,127393,38825
JAWA TENGAH,DEMAK,37456,86148,26684
JAWA TENGAH,GROBOGAN,42656,120269,26745
JAWA TENGAH,JEPARA,49013,87167,15572
JAWA TENGAH,KARANGANYAR,11737,58146,7269
JAWA TENGAH,KEBUMEN,21634,100026,34990
JAWA TENGAH,KENDAL,15380,49817,32353
JAWA TENGAH,KLATEN,37701,106244,24549
JAWA TENGAH,KOTA MAGELANG,2002,6639,496
JAWA TENGAH,KOTA PEKALONGAN,7883,19599,2144
JAWA TENGAH,KOTA SALATIGA,2036,6792,342
JAWA TENGAH,KOTA SEMARANG,20859,54891,2233
JAWA TENGAH,KOTA SURAKARTA,21878,18972,217
JAWA TENGAH,KOTA TEGAL,7067,12748,2175
JAWA TENGAH,KUDUS,6696,45674,5281
JAWA TENGAH,MAGELANG,41022,83105,29450
JAWA TENGAH,PATI,37578,118695,21552
JAWA TENGAH,PEKALONGAN,14988,54440,33677
