Provinsi,NamaKab/Kota,Bebas Sewa,Kontrak/Sewa,Milik Sendiri
ACEH,ACEH BARAT,1177,338,18270
ACEH,ACEH BARAT DAYA,2097,570,15359
ACEH,ACEH BESAR,3887,971,34134
ACEH,ACEH JAYA,684,68,7178
ACEH,ACEH SELATAN,3304,766,25008
ACEH,ACEH SINGKIL,1391,368,10287
ACEH,ACEH TAMIANG,3787,989,23201
ACEH,ACEH TENGAH,3113,1385,15070
ACEH,ACEH TENGGARA,2854,1255,11158
ACEH,ACEH TIMUR,4215,885,41713
ACEH,ACEH UTARA,6255,999,72399
ACEH,BENER MERIAH,1407,483,7474
ACEH,BIREUEN,4730,1208,46555
ACEH,GAYO LUES,1027,282,6505
ACEH,KOTA BANDA ACEH,1676,1219,5441
ACEH,KOTA LANGSA,2070,1143,6308
ACEH,KOTA LHOKSEUMAWE,1396,1327,9381
ACEH,KOTA SABANG,432,116,1689
ACEH,KOTA SUBULUSSALAM,624,234,6256
ACEH,NAGAN RAYA,2234,324,16828
ACEH,PIDIE,8671,565,40500
ACEH,PIDIE JAYA,1770,293,16826
ACEH,SIMEULUE,798,101,10756
BALI,BADUNG,354,150,11770
BALI,BANGLI,623,58,16554
BALI,BULELENG,9229,711,51151
BALI,GIANYAR,277,70,18680
BALI,JEMBRANA,1831,204,15664
BALI,KARANG ASEM,2359,107,35550
BALI,KLUNGKUNG,563,67,10460
BALI,KOTA DENPASAR,243,1759,2677
BALI,TABANAN,801,196,28094
BANTEN,KOTA CILEGON,1444,750,11539
BANTEN,KOTA SERANG,1728,439,18240
BANTEN,KOTA TANGERANG,7930,11090,48304
BANTEN,KOTA TANGERANG SELATAN,1202,4149,28773
BANTEN,LEBAK,2646,377,101708
BANTEN,PANDEGLANG,4208,602,108168
BANTEN,SERANG,2454,231,66140
BANTEN,TANGERANG,8466,3209,216012
BENGKULU,BENGKULU SELATAN,640,124,11458
BENGKULU,BENGKULU TENGAH,1156,94,11143
BENGKULU,BENGKULU UTARA,1928,229,19796
BENGKULU,KAUR,571,101,11442
BENGKULU,KEPAHIANG,1377,391,8980
BENGKULU,KOTA BENGKULU,2917,3599,13677
BENGKULU,LEBONG,1496,177,8533
BENGKULU,MUKOMUKO,1442,147,11493
